Attempts
Date,Attempted
2015-06-01,34
2015-06-02,30
2015-06-03,31
2015-06-04,98
2015-06-05,126
2015-06-06,145
2015-06-07,91
2015-06-08,59
2015-06-09,72
2015-06-10,43
2015-06-11,74
2015-06-12,141
2015-06-13,130
2015-06-14,59
2015-06-15,87
2015-06-16,60
2015-06-17,75
2015-06-18,94
2015-06-19,145
2015-06-20,149
2015-06-21,87
2015-06-22,123
2015-06-23,119
2015-06-24,114
2015-06-25,139
2015-06-26,193
2015-06-27,193
2015-06-28,113
2015-06-29,121
2015-06-30,81

climbing routes
Date,Route,Attempted,Succeeded,Success Percentage
2015-06-13,Liberty RIngraham Directge,2,0,0.0
2015-06-13,Emmons-Winthrop,4,2,0.5
2015-06-13,Kautz Glacier,1,1,1.0
2015-06-13,Emmons-Winthrop,2,0,0.0
2015-06-13,Disappointment Cleaver,12,12,1.0
2015-06-13,Disappointment Cleaver,12,12,1.0
2015-06-13,Disappointment Cleaver,12,11,0.916666667
2015-06-13,Disappointment Cleaver,12,6,0.5
2015-06-12,Disappointment Cleaver,3,3,1.0
2015-06-12,Liberty RIngraham Directge,2,2,1.0
2015-06-12,Disappointment Cleaver,12,8,0.666666667
2015-06-12,Disappointment Cleaver,4,4,1.0
2015-06-12,Emmons-Winthrop,3,3,1.0
2015-06-12,Emmons-Winthrop,4,4,1.0
2015-06-12,Little Tahoma,3,3,1.0
2015-06-12,Disappointment Cleaver,2,0,0.0
2015-06-12,Disappointment Cleaver,7,0,0.0
2015-06-12,Disappointment Cleaver,3,0,0.0
2015-06-12,Emmons-Winthrop,3,3,1.0
2015-06-12,Disappointment Cleaver,7,4,0.571428571
2015-06-12,Emmons-Winthrop,8,6,0.75
2015-06-12,Disappointment Cleaver,2,0,0.0
2015-06-12,Fuhrers Finger,2,2,1.0
2015-06-12,Kautz Glacier,2,0,0.0
2015-06-12,Disappointment Cleaver,3,0,0.0
2015-06-12,Disappointment Cleaver,2,2,1.0
2015-06-12,Emmons-Winthrop,6,6,1.0
2015-06-12,Curtis RIngraham Directge,2,2,1.0
2015-06-12,Ptarmigan RIngraham Directge,2,2,1.0
2015-06-12,Disappointment Cleaver,3,0,0.0
2015-06-12,Emmons-Winthrop,4,4,1.0
2015-06-12,Disappointment Cleaver,12,7,0.583333333
2015-06-12,Disappointment Cleaver,10,11,1.1
2015-06-12,Emmons-Winthrop,9,7,0.7777777779999999
2015-06-12,Emmons-Winthrop,9,9,1.0
2015-06-12,Emmons-Winthrop,12,7,0.583333333
2015-06-11,Emmons-Winthrop,3,3,1.0
2015-06-11,Disappointment Cleaver,12,7,0.583333333
2015-06-11,Disappointment Cleaver,11,0,0.0
2015-06-11,Disappointment Cleaver,11,11,1.0
2015-06-11,Disappointment Cleaver,4,0,0.0
2015-06-11,Disappointment Cleaver,3,0,0.0
2015-06-11,Kautz Glacier,4,0,0.0
2015-06-11,Disappointment Cleaver,2,0,0.0
2015-06-11,Disappointment Cleaver,4,0,0.0
2015-06-11,Disappointment Cleaver,2,0,0.0
2015-06-11,Disappointment Cleaver,2,0,0.0
2015-06-11,Little Tahoma,2,2,1.0
2015-06-11,Emmons-Winthrop,3,0,0.0
2015-06-11,Emmons-Winthrop,9,0,0.0
2015-06-11,Kautz Glacier,2,0,0.0
2015-06-10,Disappointment Cleaver,12,12,1.0
2015-06-10,Disappointment Cleaver,2,0,0.0
2015-06-10,Emmons-Winthrop,5,0,0.0
2015-06-10,Disappointment Cleaver,12,7,0.583333333
2015-06-10,Disappointment Cleaver,12,6,0.5
2015-06-09,Liberty RIngraham Directge,3,0,0.0
2015-06-09,Liberty RIngraham Directge,2,2,1.0
2015-06-09,Disappointment Cleaver,12,10,0.833333333
2015-06-09,Disappointment Cleaver,12,8,0.666666667
2015-06-09,Emmons-Winthrop,9,6,0.666666667
2015-06-09,Fuhrers Finger,3,0,0.0
2015-06-09,Disappointment Cleaver,11,9,0.818181818
2015-06-09,Kautz Glacier,11,0,0.0
2015-06-09,Emmons-Winthrop,2,0,0.0
2015-06-09,Disappointment Cleaver,2,2,1.0
2015-06-09,Emmons-Winthrop,3,0,0.0
2015-06-09,Emmons-Winthrop,2,2,1.0
2015-06-08,Disappointment Cleaver,2,0,0.0
2015-06-08,Disappointment Cleaver,12,9,0.75
2015-06-08,Disappointment Cleaver,4,4,1.0
2015-06-08,Disappointment Cleaver,3,3,1.0
2015-06-08,Disappointment Cleaver,11,8,0.727272727
2015-06-08,Disappointment Cleaver,10,0,0.0
2015-06-08,Disappointment Cleaver,10,6,0.6
2015-06-08,Emmons-Winthrop,2,2,1.0
2015-06-08,Disappointment Cleaver,3,3,1.0
2015-06-08,Disappointment Cleaver,2,2,1.0
2015-06-07,Disappointment Cleaver,2,0,0.0
2015-06-07,Disappointment Cleaver,5,5,1.0
2015-06-07,Little Tahoma,2,2,1.0
2015-06-07,Disappointment Cleaver,4,4,1.0
2015-06-07,Emmons-Winthrop,12,8,0.666666667
2015-06-07,Kautz Cleaver,2,0,0.0
2015-06-07,Disappointment Cleaver,2,0,0.0
2015-06-07,Emmons-Winthrop,2,2,1.0
2015-06-07,Kautz Glacier,3,0,0.0
2015-06-07,Disappointment Cleaver,2,2,1.0
2015-06-07,Disappointment Cleaver,5,3,0.6
2015-06-07,Disappointment Cleaver,3,3,1.0
2015-06-07,glacier only - no summit attempt,2,0,0.0
2015-06-07,Disappointment Cleaver,12,12,1.0
2015-06-07,Kautz Glacier,9,4,0.444444444
2015-06-07,Disappointment Cleaver,12,10,0.833333333
2015-06-07,Emmons-Winthrop,12,11,0.916666667
2015-06-06,Little Tahoma,12,0,0.0
2015-06-06,Disappointment Cleaver,6,0,0.0
2015-06-06,Disappointment Cleaver,5,0,0.0
2015-06-06,Disappointment Cleaver,2,2,1.0
2015-06-06,Disappointment Cleaver,11,7,0.636363636
